Licenses for third-party software included in this release.

Category,License,Dependency,Notes
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-diagrams_2.13 # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-featurespec_2.13 # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-flatspec_2.13 # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-freespec_2.13 # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-funspec_2.13 # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-funsuite_2.13 # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-matchers-core_2.13 # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-mustmatchers_2.13 # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-propspec_2.13 # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-refspec_2.13 # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-shouldmatchers_2.13 # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-wordspec_2.13 # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest_2.13 # 3.2.9,
BSD,BSD (LICENSE.txt),com.thoughtworks.paranamer # paranamer # 2.8,
BSD,BSD (LICENSE.txt),jline # jline # 0.9.94,
BSD,BSD (http://asm.ow2.org/license.html),org.ow2.asm # asm # 7.0,
BSD,BSD (https://github.com/sbt/test-interface/blob/master/LICENSE),org.scala-sbt # test-interface # 1.0,
BSD,BSD 2-Clause License (https://opensource.org/licenses/BSD-2-Clause),com.github.luben # zstd-jni # 1.4.9-1,
BSD,BSD 3-clause (https://opensource.org/licenses/BSD-3-Clause),org.scalacheck # scalacheck_2.13 # 1.15.4,
BSD,BSD-3-Clause (https://github.com/scodec/scodec-bits/blob/main/LICENSE),org.scodec # scodec-bits_2.13 # 1.1.28,
BSD,New BSD license (http://www.opensource.org/licenses/bsd-license.php),com.google.protobuf # protobuf-java # 2.5.0,
BSD,Revised BSD (http://www.jcraft.com/jsch/LICENSE.txt),com.jcraft # jsch # 0.1.55,
BSD,The BSD 3-Clause License (https://github.com/xmlunit/xmlunit/blob/master/xmlunit-legacy/LICENSE.txt),org.xmlunit # xmlunit-legacy # 2.6.2,
BSD,The BSD License (http://www.opensource.org/licenses/bsd-license.php),org.codehaus.woodstox # stax2-api # 3.1.4,
BSD,The BSD License (https://opensource.org/licenses/BSD-3-Clause),org.jline # jline # 3.19.0,
BSD,The BSD License (http://www.opensource.org/licenses/bsd-license.php),xmlenc # xmlenc # 0.52,
GPL,GPL2 w/ CPE (https://www.gnu.org/software/classpath/license.html),jakarta.annotation # jakarta.annotation-api # 1.3.5,
GPL,GPL2 w/ CPE (https://www.gnu.org/software/classpath/license.html),jakarta.ws.rs # jakarta.ws.rs-api # 2.1.6,
GPL,GPL2 w/ CPE (https://www.gnu.org/software/classpath/license.html),org.glassfish.hk2 # osgi-resource-locator # 1.0.3,
GPL,GPL2 w/ CPE (https://www.gnu.org/software/classpath/license.html),org.glassfish.hk2.external # jakarta.inject # 2.6.1,
GPL with Classpath Extension,CDDL + GPLv2 with classpath exception (https://github.com/javaee/javax.annotation/blob/master/LICENSE),javax.annotation # javax.annotation-api # 1.3.2,
GPL with Classpath Extension,CDDL + GPLv2 with classpath exception (https://glassfish.dev.java.net/nonav/public/CDDL+GPL.html),javax.servlet # javax.servlet-api # 3.1.0,
LGPL,"GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1 (https://www.gnu.org/licenses/old-licenses/lgpl-2.1.en.html)",com.github.spotbugs # spotbugs-annotations # 3.1.9,
LGPL,GNU Lesser General Public License (http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html),ch.qos.logback # logback-classic # 1.2.3,
LGPL,GNU Lesser General Public License (http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html),ch.qos.logback # logback-core # 1.2.3,
MIT,MIT (http://opensource.org/licenses/MIT),co.fs2 # fs2-core_2.13 # 3.1.2,
MIT,MIT (http://opensource.org/licenses/MIT),co.fs2 # fs2-io_2.13 # 3.1.2,
MIT,MIT (http://opensource.org/licenses/MIT),com.beachape # enumeratum-circe_2.13 # 1.7.0,
MIT,MIT (http://opensource.org/licenses/MIT),com.beachape # enumeratum-macros_2.13 # 1.6.1,
MIT,MIT (http://opensource.org/licenses/MIT),com.beachape # enumeratum_2.13 # 1.7.0,
MIT,MIT (https://opensource.org/licenses/MIT),com.sksamuel.avro4s # avro4s-core_2.13 # 4.0.11,
MIT,MIT (http://opensource.org/licenses/MIT),eu.timepit # refined_2.13 # 0.9.25,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-core_2.13 # 2.6.1,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-free_2.13 # 2.6.1,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-kernel-laws_2.13 # 2.6.1,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-kernel_2.13 # 2.6.1,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-laws_2.13 # 2.6.1,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-parse_2.13 # 0.3.4,
MIT,MIT (http://www.opensource.org/licenses/mit-license.php),org.typelevel # discipline-core_2.13 # 1.1.5,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # jawn-parser_2.13 # 1.2.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # vault_2.13 # 3.0.4,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # slf4j-api # 1.7.32,
MIT,MIT license (http://www.opensource.org/licenses/mit-license.php),org.codehaus.mojo # animal-sniffer-annotations # 1.17,
MIT,The MIT License (http://www.opensource.org/licenses/mit-license.php),net.sf.jopt-simple # jopt-simple # 5.0.3,
MIT,The MIT License (http://opensource.org/licenses/MIT),org.checkerframework # checker-qual # 2.5.2,
MIT,The MIT License (https://github.com/mockito/mockito/blob/master/LICENSE),org.mockito # mockito-core # 3.2.4,
Public Domain,Public Domain,aopalliance # aopalliance # 1.0,
Public Domain,Public Domain (https://creativecommons.org/publicdomain/zero/1.0/),org.glassfish.jersey.core # jersey-common # 2.34,
unrecognized,none specified (none specified),asm # asm # 3.1,
